country,year,military_expenditures_usd_2022,military_expenditures_current_usd,share_GDP,share_govt
Belarus,1993,351865995.66058636,0.0,0.0279097146104818,
Belarus,1994,353364853.4083353,0.0,0.0362160825483892,
Belarus,1995,139430842.94115022,179081676.93776584,0.0169946376942909,
Belarus,1996,107026231.14399163,182805614.5549097,0.01260692559907,
Belarus,1997,175166339.15422347,249384139.42852756,0.0176896655126352,
Belarus,1998,163928261.84597573,227586087.28830463,0.0149509870243434,
Belarus,1999,164049654.90809444,165903848.85376763,0.0136676073838588,
Belarus,2000,181669122.90922558,140326204.73339036,0.0134698415075764,
Belarus,2001,226346516.71501356,177697841.7266187,0.0143829074692243,0.3280212483399734
Belarus,2002,235303649.80790922,204364237.3752038,0.0140024580052511,0.3093829247675401
Belarus,2003,237839219.132318,231563860.4376801,0.0129906390002338,0.2885783718104496
Belarus,2004,287858745.2021212,314314017.7571218,0.0135822231382832,0.2984615384615385
Belarus,2005,374615463.3802202,452684068.3065437,0.0149845313530186,0.3221010901883052
Belarus,2006,486573278.6899859,631831238.109449,0.0170941249195756,0.3502196950116309
Belarus,2007,530891816.349334,746943263.9976143,0.0164976591437478,0.324493927125506
Belarus,2008,544056702.2986829,883027522.9357798,0.0145349285157345,0.2342896174863388
Belarus,2009,481697765.03480643,675426505.0750971,0.0137257698145111,0.2567714713488498
Belarus,2010,541936234.545058,767699285.884553,0.013413834329232,0.3026604897418928
Belarus,2011,581915274.7239121,756277351.2803967,0.0122449510976582,0.3038933764135703
Belarus,2012,653923324.884769,807423262.8435031,0.0122921872178112,0.3160581744764767
Belarus,2013,699822894.0871255,959801690.305798,0.0127079665150065,0.3113683922113031
Belarus,2014,583844247.9379699,821490199.261989,0.0104232763587955,0.2683901067297246
Belarus,2015,626492895.0312059,642492621.8603086,0.0113806602416354,0.2724625216349354
Belarus,2016,791823029.33603,719624427.1123228,0.0152328091923032,0.374427876152014
Belarus,2017,749117504.8998708,748831971.6804454,0.0137200444073752,0.3514193673400184
Belarus,2018,926214920.4256845,923260053.6429858,0.0153799428873681,0.4064008122529217
Belarus,2019,877187376.6890861,899710685.507974,0.0139642297566801,0.3738410793411091
Belarus,2020,928054670.0923429,861053278.6885246,0.0140325859867166,0.3688371194831641
Belarus,2021,974536453.796134,951238823.0196556,0.0136528926554311,0.3762948765893792
Belarus,2022,1105174741.3049676,1105174741.3049676,0.016486931349086,0.4565431920127333
Belarus,2023,1248816138.3253748,1403134160.0901916,0.0179770336310455,0.505913118885667
Belgium,1993,6200856853.140772,3746042850.896371,0.0173596589343318,0.030054445442299
Belgium,1994,6166937781.347205,3944101812.8327093,0.0167714315012305,0.0303095725656254
Belgium,1995,6040999035.8291,4449014834.610717,0.0156575215144641,0.0293406851243547
