Country,Year,military_expenditures_usd,military_expenditures_pct_gdp,military_expenditures_pct_govt,Capital City,Latitude,Longitude
United Kingdom,1991,47045.45732736835,0.04116802422731712,0.10559486339804594,London,51.5085,-0.1257
Albania,1992,31.559657481757906,0.04670887823737105,,Tiranë (Tirana),41.3275,19.8189
Bosnia and Herzegovina,1992,,,,Sarajevo,43.8486,18.3564
Bulgaria,1992,255.77091152125857,0.02972633843212237,,Sofia,42.6975,23.3242
Croatia,1992,36.27297787139098,0.07607386443408287,0.17187186322372017,Zagreb,45.8144,15.978
Estonia,1992,0.0,,,Tallinn,59.437,24.7535
Hungary,1992,812.0179671951831,0.02179653172119198,,Budapest,47.498,19.0399
Kosovo,1992,,,,,,
Latvia,1992,,,,Riga,56.946,24.1059
Lithuania,1992,,,,Vilnius,54.6892,25.2798
North Macedonia,1992,,,,,,
Montenegro,1992,,,,Podgorica,42.4411,19.2636
Poland,1992,1881.9350672224505,0.02230999443207127,,Warszawa (Warsaw),52.2298,21.0118
Romania,1992,831.6204096079596,0.042476825168306746,0.10122529644268775,Bucuresti (Bucharest),44.4328,26.1043
Serbia,1992,,,,Beograd (Belgrade),44.8176,20.4633
Slovakia,1992,,,,Bratislava,48.1482,17.1067
Slovenia,1992,281.422738461992,0.02247233332313219,,Ljubljana,46.0511,14.5051
Belarus,1992,0.0,0.016224986479177934,,Minsk,53.9,27.5667
Moldova,1992,,,,,,
Russia,1992,0.0,0.04427032321253673,,,,
Ukraine,1992,,,,Kyiv (Kiev),50.4454,30.5186
Austria,1992,2139.9253217400887,0.010992140715866863,0.022390210669741117,Wien (Vienna),48.2064,16.3707
Belgium,1992,4131.298112213209,0.018323325300936617,0.0323730396735657,Bruxelles-Brussel,50.8467,4.3499
Cyprus,1992,630.127106011074,0.09129286044184914,,Lefkosia (Nicosia),35.1595,33.3669
Denmark,1992,2837.7453765906303,0.018893772853368924,0.032937787597516345,København (Copenhagen),55.6759,12.5655
Finland,1992,2075.955550128221,0.019071310116086235,0.03033359193173002,Helsinki,60.1692,24.9402
France,1992,37902.26982078049,0.02690660710631762,0.05142676022675468,Paris,48.8534,2.3488
Germany,1992,39502.45227126672,0.018604799411357946,0.039163718982155114,Berlin,52.5244,13.4105
Greece,1992,3623.0529149521117,0.03629800890423471,0.0856575944552447,Athínai (Athens),37.9534,23.749
Iceland,1992,0.0,,,Reykjavík,64.1355,-21.8954
Ireland,1992,674.0350444621924,0.012041185498520221,0.026269062043033215,Dublin,53.3331,-6.2489
Italy,1992,22177.090390331883,0.017519769834748698,0.03003952644538225,Roma (Rome),41.8947,12.4811
Luxembourg,1992,111.32067645306007,0.008271984010499852,,Luxembourg,49.6117,6.13
Malta,1992,26.692690806299638,0.00973183398963503,,Valletta,35.8997,14.5147
Netherlands,1992,7904.561273351822,0.02213002596309031,0.04301907639424093,Amsterdam,52.374,4.8897
Norway,1992,3803.684930404698,0.02964700275298972,0.0566573188562115,Oslo,59.9127,10.7461
Portugal,1992,1912.6795096875392,0.018052441000227903,0.03676868079023237,Lisboa (Lisbon),38.7169,-9.1399
Spain,1992,12250.195429628267,0.020428036760102658,0.04442029583357888,Madrid,40.4165,-3.7026
Sweden,1992,6141.834497229486,0.02338790882579869,0.03273061683884959,Stockholm,59.3326,18.0649
Switzerland,1992,4138.04383382401,0.015237092723954364,0.04727550431808396,Bern,46.9481,7.4474
United Kingdom,1992,45592.59181797652,0.038647177664126266,0.09380892394705945,London,51.5085,-0.1257
Albania,1993,39.28984342850424,0.03199451066749645,,Tiranë (Tirana),41.3275,19.8189
Bosnia and Herzegovina,1993,,,,Sarajevo,43.8486,18.3564
Bulgaria,1993,282.6742433027949,0.026092716117939077,,Sofia,42.6975,23.3242
Croatia,1993,577.9782686279844,0.10726757154504477,0.2502414086728763,Zagreb,45.8144,15.978
Estonia,1993,13.14655988488773,0.007617519609456421,,Tallinn,59.437,24.7535
Hungary,1993,735.8603855843156,0.019065682898096535,,Budapest,47.498,19.0399
Kosovo,1993,,,,,,
Latvia,1993,17.691507972105697,0.007352954064300133,,Riga,56.946,24.1059
Lithuania,1993,20.76976376937704,0.008122606433259212,0.021958819440658566,Vilnius,54.6892,25.2798
North Macedonia,1993,,,,,,
Montenegro,1993,,,,Podgorica,42.4411,19.2636
